ratio,Spacy_entity,Spacy_tag,Spacy_clean_entities,Wiki_entity,Wiki_tag,Wiki_clean_entities
88,The Celestial Lance,'PERSON',the celestial lance,Celestial Lance,,celestial lance
85,Grey Knights Chapter,'ORG',grey knights chapter,Grey Knights Captain,,grey knights captain
94,Battle of Biel Tan,'PERSON',battle of biel tan,Battle of Biel-Tan,,battle of biel-tan
85,the  Brazen Host,'LOC',the brazen host,Brazen Host,,brazen host
91,the Supreme Grand Master,'PERSON',the supreme grand master,Supreme Grand Master,,supreme grand master
90,The Horrors of Tzeentch,'PERSON',the horrors of tzeentch,Horrors of Tzeentch,,horrors of tzeentch
83,Cackleflame of Tzeentch,'PERSON',cackleflame of tzeentch,Flamer of Tzeentch,,flamer of tzeentch
85,Chaos Staff of Tomorrow,'PERSON',chaos staff of tomorrow,Staff of Tomorrow,,staff of tomorrow
86,Svengar,'PERSON',svengar,Verngar,,verngar
86,Tau,'ORG',tau,T’au,,t’au
83,Fire Warrior Team,'ORG',fire warrior team,Fire Warrior (Game),,fire warrior (game)
85,the  Pan Pacific Empire,'ORG',the pan pacific empire,Pan-Pacific Empire,,pan-pacific empire
89,The Grey Knight Librarian,'PERSON',the grey knight librarian,Grey Knights Librarian,,grey knights librarian
85,the Nemesis Force Weaponry,'ORG',the nemesis force weaponry,Nemesis Force Weapons,,nemesis force weapons
83,a Contemptor Dreadnought,'PERSON',a contemptor dreadnought,Contemptor-Mortis Dreadnought,,contemptor-mortis dreadnought
83,a Contemptor Dreadnought,'PERSON',a contemptor dreadnought,Contemptor-Cortus Dreadnought,,contemptor-cortus dreadnought
81,a Contemptor Dreadnought,'PERSON',a contemptor dreadnought,Contemptor-Galatus Dreadnought,,contemptor-galatus dreadnought
83,the  Dreadspear,'PERSON',the dreadspear,Dreadspear,,dreadspear
83,Osiran,'NORP',osiran,Osiron,,osiron
81,Colonia Campaign,'ORG',colonia campaign,Chondax Campaign,,chondax campaign
82,Comissar Ibram Gaunt,'PERSON',comissar ibram gaunt,Colonel-Commissar Ibram Gaunt,,colonel-commissar ibram gaunt
81,Chapters of Space Marines,'ORG',chapters of space marines,Heroes of the Space Marines,,heroes of the space marines
86,the Perpetual Spiral,'ORG',the perpetual spiral,Perpeptual Spiral,,perpeptual spiral
87,the Crusader Host,'ORG',the crusader host,Crusader Host,,crusader host
85,The Undying One,'PERSON',the undying one,Undying One,,undying one
97,Burias Drak Shal,'PERSON',burias drak shal,Burias DrakShal,,burias drakshal
90,Gehemahnet,'NORP',gehemahnet,Gehemehnet,,gehemehnet
81,Battle of the Iron Cage,'PERSON',battle of the iron cage,Battle of the Boros Gate,,battle of the boros gate
93,Cursed Crozius,'PERSON',cursed crozius,Accursed Crozius,,accursed crozius
91,Ankh Heloth,'PERSON',ankh heloth,Ankh-Heloth,,ankh-heloth
85,the Warp Storms,'LOC',the warp storms,Warp Storms,,warp storms
83,Cardinals Terran,'PERSON',cardinals terran,Cardinal Tang,,cardinal tang
81,Imperial Guard Regiments,'ORG',imperial guard regiments,Imperial Guard Vehicles,,imperial guard vehicles
91,The Geratomran Reconquest,'ORG',the geratomran reconquest,Geratomran Reconquest,,geratomran reconquest
96,Eviscerators,'PERSON',eviscerators,Eviscerator,,eviscerator
97,Crimson Paladins Blood Angels,'ORG',crimson paladins blood angels,Crimson Paladins (Blood Angels),,crimson paladins (blood angels)
94,the  Order of the Divine Perfection,'ORG',the order of the divine perfection,Order of the Divine Perfection,,order of the divine perfection
85,the  Kalidar War,'ORG',the kalidar war,Kalidar War,,kalidar war
87,the Geno Five Two Chiliad,'ORG',the geno five two chiliad,Geno Five-Two Chiliad,,geno five-two chiliad
88,the Rangdan Xenocides,'ORG',the rangdan xenocides,Third Rangdan Xenocide,,third rangdan xenocide
88,the Hungering Gyre,'ORG',the hungering gyre,Hungering Gyre,,hungering gyre
88,the Osiran Psybrids,'ORG',the osiran psybrids,Osiran Psybrids,,osiran psybrids
83,G9K Division,'ORG',g9k division,G9K Division Kill,,g9k division kill
93,M Pandex,'LOC',m pandex,MPandex,,mpandex
82,the Rangdan Xenocides,'ORG',the rangdan xenocides,Second Rangdan Xenocide,,second rangdan xenocide
89,The Primordial Truth,'PERSON',the primordial truth,Primordial Truth,,primordial truth
86,Ak Haireth s,'ORG',ak haireth s,AkHaireth,,akhaireth
89,Indra sûl,'PERSON',indra sûl,Indra-sûl,,indra-sûl
87,the  Lammas Sector,'LOC',the lammas sector,Lammas Sector,,lammas sector
82,Heavy Mortar Company,'ORG',heavy mortar company,Heavy Mortar Cannon,,heavy mortar cannon
82,The Inquisitor Lord,'PERSON',the inquisitor lord,Inquisitor-Lord,,inquisitor-lord
86,Path of the Dreamer,'PERSON',path of the dreamer,Path of the Seer,,path of the seer
86,Comania,'LOC',comania,Corania,,corania
87,the  Gilead System,'LOC',the gilead system,Gilead System,,gilead system
88,the  Circlet Council,'ORG',the circlet council,Circlet Council,,circlet council
83,Wraithknights,'NORP',wraithknights,Wraithsight,,wraithsight
82,Wraithseers,'NORP',wraithseers,Wraithspear,,wraithspear
85,Primarchs II,'ORG',primarchs ii,Primarchs Gift,,primarchs gift
83,the   Blade of the Laer,'PERSON',the  blade of the laer,Silver Blade of the Laer,,silver blade of the laer
91,the  Catulan Reaver Squad,'ORG',the catulan reaver squad,Catulan Reaver Squad,,catulan reaver squad
81,Astropath ic,'NORP',astropath ic,astrotelepathic,,astrotelepathic
82,Battle of Armatura,'PERSON',battle of armatura,Battle of Diamat,,battle of diamat
88,the Paramar System,'LOC',the paramar system,Paramar System,,paramar system
81,The Fall of Lesser Damantyne,'PERSON',the fall of lesser damantyne,Battle of Lesser Damantyne,,battle of lesser damantyne
82,Manachean,'NORP',manachean,Manachean War,,manachean war
82,the  Dark Mechanicum,'ORG',the dark mechanicum,Dark Mechancium,,dark mechancium
96,Nomus Rhy tan,'PERSON',nomus rhy tan,Nomus Rhytan,,nomus rhytan
92,Constanix II s,'PERSON',constanix ii s,Constanix II,,constanix ii
88,Ohmn Mat,'ORG',ohmn mat,Ohmn-Mat,,ohmn-mat
83,Agathon System,'LOC',agathon system,Nagathar System,,nagathar system
85,Battle of Tarsus,'PERSON',battle of tarsus,Battle of Arissak,,battle of arissak
85,the Beta Garmon System,'LOC',the beta garmon system,Beta-Garmon System,,beta-garmon system
93,Lion El Jonson,'PERSON',lion el jonson,Lion ElJohnson,,lion eljohnson
88,the  Nostramo Sector,'LOC',the nostramo sector,Nostramo Sector,,nostramo sector
82,the  Thramas Crusade,'ORG',the thramas crusade,Thramas Crisade,,thramas crisade
84,the   Spear of Russ,'PERSON',the  spear of russ,Spear of Russ,,spear of russ
81,the Black Crusades,'ORG',the black crusades,First Black Crusade,,first black crusade
87,the Witch Hunters,'NORP',the witch hunters,Witch Hunters,,witch hunters
91,the  Tanith First and Only Gaunt s Ghosts,'ORG',the tanith first and only gaunt s ghosts,Tanith First and Only (Gaunts Ghosts),,tanith first and only (gaunts ghosts)
88,The Vindicare Assassin,'PERSON',the vindicare assassin,Vindicare Assassins,,vindicare assassins
88,Space Marine s,'ORG',space marine s,Space Marine Scout,,space marine scout
83,Morleo Moriar,'PERSON',morleo moriar,Mole Mortar,,mole mortar
95,Thunderfire Cannon s,'ORG',thunderfire cannon s,Thunderfire Cannon,,thunderfire cannon
97,K alith the Prurient,'PERSON',k alith the prurient,Kalith the Prurient,,kalith the prurient
81,the Nine Legion,'ORG',the nine legion,Slitherine Legion,,slitherine legion
90,Lesh Jae Thi Hah,'PERSON',lesh jae thi hah,LeshJaeThiHah,,leshjaethihah
94,Manushya Rakshasi,'PERSON',manushya rakshasi,Manushya-Rakshasi,,manushya-rakshasi
95,Mnay salath,'PERSON',mnay salath,Mnaysalath,,mnaysalath
92,N Kisha,'PERSON',n kisha,NKisha,,nkisha
82,Sacratium   ,'ORG',sacratium,Sacratis,,sacratis
92,the  Trail of Saint Evisser,'LOC',the trail of saint evisser,Trail of Saint Evisser,,trail of saint evisser
94,Blood Pact Novel,'ORG',blood pact novel,Blood Pact (Novel),,blood pact (novel)
94,Meduson Anthology,'ORG',meduson anthology,Meduson (Anthology),,meduson (anthology)
88,Rynn s World,'LOC',rynn s world,Erwynns World,,erwynns world
88,the  Acteron Sector,'LOC',the acteron sector,Acteron Sector,,acteron sector
82,Space Marine Squad,'ORG',space marine squad,Space Marine Standard,,space marine standard
88,a  Black Crusade,'ORG',a black crusade,2nd Black Crusade,,2nd black crusade
92,Ix thar ganix,'PERSON',ix thar ganix,Ixtharganix,,ixtharganix
86,Plaguelord,'PERSON',plaguelord,Plaguesword,,plaguesword
83,Armies of the Imperium,'ORG',armies of the imperium,Vehicles of the Imperium,,vehicles of the imperium
82,the High Host,'ORG',the high host,High Host,,high host
82,Ironhelm,'PERSON',ironhelm,Lion Helm,,lion helm
91,An  Artificial World,'LOC',an artificial world,Artificial World,,artificial world
82,Zhao Arkhad,'PERSON',zhao arkhad,Zhao-Arkkad,,zhao-arkkad
81,Alabaster Lances,'PERSON',alabaster lances,Laser Lance,,laser lance
95,Skyweavers,'ORG',skyweavers,Skyweaver,,skyweaver
86,Blanter,'PERSON',blanter,Blaster,,blaster
92,Tu Shan,'PERSON',tu shan,TuShan,,tushan
96,Vulkan He stan,'PERSON',vulkan he stan,Vulkan Hestan,,vulkan hestan
88,The Lernaean Terminators,'ORG',the lernaean terminators,Lernaean Terminator,,lernaean terminator
90,the  Bringers of Despair,'ORG',the bringers of despair,Bringers of Despair,,bringers of despair
86,Yme Loc,'PERSON',yme loc,Yme-Loc,,yme-loc
98,Tetrarchy of Ultramar,'ORG',tetrarchy of ultramar,Tetrarch of Ultramar,,tetrarch of ultramar
88,Gae sann,'PERSON',gae sann,Gae-sann,,gae-sann
81,a  Black Crusade,'ORG',a black crusade,Blackstar Crusade,,blackstar crusade
88,the  Ganglax Sector,'LOC',the ganglax sector,Ganglax Sector,,ganglax sector
91,the Black Crusades,'ORG',the black crusades,4th Black Crusade,,4th black crusade
87,War Engines,'ORG',war engines,Star Engines,,star engines
82,War Engines,'ORG',war engines,Star Engine,,star engine
93,the  Masque of the Veiled Path,'LOC',the masque of the veiled path,Masque of the Veiled Path,,masque of the veiled path
86,the  Crone Swords,'ORG',the crone swords,Crone Swords,,crone swords
84,The  Eldar   Craftworld  ,'ORG',the eldar  craftworld,Eldar Craftworlds,,eldar craftworlds
86,The Vanus Temple,'ORG',the vanus temple,Vanus Temple,,vanus temple
92,Planetary Governor s,'ORG',planetary governor s,planetary Ggovernor,,planetary ggovernor
88,the  Venenum Temple,'ORG',the venenum temple,Venenum Temple,,venenum temple
91,the Battlefleet Obscurus,'ORG',the battlefleet obscurus,Battlefleet Obscurus,,battlefleet obscurus
91,Ordan,'PERSON',ordan,Ordana,,ordana
92,The Master of Reconnaissance,'PERSON',the master of reconnaissance,Master of Reconnaissance,,master of reconnaissance
81,Primaris Chapter,'ORG',primaris chapter,Primaris Captain,,primaris captain
92,Techno Shamans,'ORG',techno shamans,Technoshaman,,technoshaman
92,Shas ui,'NORP',shas ui,Shasui,,shasui
87,Honourblaze,'PERSON',honourblaze,Honour Blade,,honour blade
93,Vespid Planet,'PERSON',vespid planet,Vespid (Planet),,vespid (planet)
93,Shas vre,'PERSON',shas vre,Shasvre,,shasvre
92,Shas O Vesu r R alai,'PERSON',shas o vesu r r alai,ShasO Vesur Ralai,,shaso vesur ralai
92,Dal yth,'LOC',dal yth,Dalyth,,dalyth
91,the Repulsor Impact Field,'LOC',the repulsor impact field,Repulsor Impact Field,,repulsor impact field
91,O Vesa,'PERSON',o vesa,OVesa,,ovesa
95,Salash hei,'LOC',salash hei,Salashhei,,salashhei
94,Lub grahl,'LOC',lub grahl,Lubgrahl,,lubgrahl
97,Cadre Fireblades,'ORG',cadre fireblades,Cadre Fireblade,,cadre fireblade
91,Shael,'PERSON',shael,Shasel,,shasel
91,Shas O R myr,'PERSON',shas o r myr,ShasO Rmyr,,shaso rmyr
86,Knights Errants,'ORG',knights errants,Knight-Errant,,knight-errant
97,Dark Brotherhood Blackshield Force,'ORG',dark brotherhood blackshield force,Dark Brotherhood (Blackshield Force),,dark brotherhood (blackshield force)
90,Sixty Three Nineteen,'ORG',sixty three nineteen,Sixty-Three-Nineteen,,sixty-three-nineteen
92,Heta Gladius,'PERSON',heta gladius,Heta-Gladius,,heta-gladius
85,a Refractor Field,'LOC',a refractor field,Refraction Field,,refraction field
87,the Ecclesiarchal Palace,'ORG',the ecclesiarchal palace,Ecclesiarchical Palace,,ecclesiarchical palace
98,the Way of the Emperor s Flesh,'ORG',the way of the emperor s flesh,The Way of the Emperors Flesh,,the way of the emperors flesh
83,Montar,'LOC',montar,Montau,,montau
95,T au castes,'NORP',t au castes,Tau Castes,,tau castes
86,Tau,'ORG',tau,Taun,,taun
91,the Black Crusades,'ORG',the black crusades,7th Black Crusade,,7th black crusade
86,the Emperor s Swords,'PERSON',the emperor s swords,Emperors Swords,,emperors swords
86,Pragar,'ORG',pragar,Pranagar,,pranagar
83,Stern,'PERSON',stern,Sternac,,sternac
83,the Hodur Sector,'LOC',the hodur sector,Holdur Sector,,holdur sector
83,Tarus,'PERSON',tarus,Taralus,,taralus
93,Sub sector Sol,'ORG',sub sector sol,Sub-sector Sol,,sub-sector sol
95,Vindict V.,'LOC',vindict v.,Vindict V,,vindict v
95,Il sariadh,'PERSON',il sariadh,Ilsariadh,,ilsariadh
87,the  West Quadrant,'LOC',the west quadrant,West Quadrant,,west quadrant
91,the Black Crusades,'ORG',the black crusades,9th Black Crusade,,9th black crusade
81,Malfian Sub Sector,'ORG',malfian sub sector,Aurelian Sub-sector,,aurelian sub-sector
90,the  Adeptus Astronomica,'ORG',the adeptus astronomica,Adeptus Astronomica,,adeptus astronomica
92,Vior la,'LOC',vior la,Viorla,,viorla
96,Headcrushaz,'PERSON',headcrushaz,Head Crushaz,,head crushaz
96,Footstompaz,'ORG',footstompaz,Foot Stompaz,,foot stompaz
96,Rokkitrangaz,'PERSON',rokkitrangaz,Rokkit Rangaz,,rokkit rangaz
82,the  Rok Clawz,'PERSON',the rok clawz,Rok Clawz,,rok clawz
94,Grukk Face Rippa,'PERSON',grukk face rippa,Grukk Face-rippa,,grukk face-rippa
83,The Savlar Chem Dogs,'ORG',the savlar chem dogs,Savlar Chem-Dogs,,savlar chem-dogs
89,Hould,'PERSON',hould,hold,,hold
82,Kindred Leagues of Votann Kindreds,'ORG',kindred leagues of votann kindreds,Kindred (Leagues of Votann),,kindred (leagues of votann)
82,3rd Armoured,'ORG',3rd armoured,Ard Armour,,ard armour
93,M Kachen,'PERSON',m kachen,MKachen,,mkachen
88,the  Dark Prince s Realm,'LOC',the dark prince s realm,Dark Princes Realm,,dark princes realm
94,a Lady of the Voids,'PERSON',a lady of the voids,Lady of the Voids,,lady of the voids
89,a Dark God,'PERSON',a dark god,Dark God,,dark god
95,Syll Esske,'PERSON',syll esske,SyllEsske,,syllesske
92,D yanoi,'LOC',d yanoi,Dyanoi,,dyanoi
84,Rot Fields,'LOC',rot fields,Rot Flies,,rot flies
83,Andreas,'PERSON',andreas,Ndras,,ndras
85,lian Crusade,'PERSON',lian crusade,Donian Crusade,,donian crusade
89,the  Unholy Harbinger,'PERSON',the unholy harbinger,Unholy Harbinger,,unholy harbinger
81,Grey Knights Astartes,'ORG',grey knights astartes,Grey Knights Justicar,,grey knights justicar
93,Be lakor,'PERSON',be lakor,Belakor,,belakor
81,the Envenomed Thorn,'ORG',the envenomed thorn,Kabal of the Envenomed Thorn,,kabal of the envenomed thorn
86,the Void Dragons,'ORG',the void dragons,Void Dragons,,void dragons
88,the  Cult Imperialis,'ORG',the cult imperialis,Cult Imperialis,,cult imperialis
88,Talos System,'LOC',talos system,Taelus System,,taelus system
81,Chaos Land Raider Proteus  ,'ORG',chaos land raider proteus,Land Raider Prometheus,,land raider prometheus
89,The Lord of Lightning,'PERSON',the lord of lightning,Lord of Lightning,,lord of lightning
95,Por O Dal yth Kais Twi Lui tan,'PERSON',por o dal yth kais twi lui tan,PorO Dalyth Kais Twi Luitan,,poro dalyth kais twi luitan
89,the  Rubycon II System,'LOC',the rubycon ii system,Rubycon II System,,rubycon ii system
92,Dal yth Prime,'LOC',dal yth prime,Dal’yth Prime,,dal’yth prime
88,Velk Han,'PERSON',velk han,Velk’han,,velk’han
93,Tash var,'PERSON',tash var,Tashvar,,tashvar
81,the  Dark Eldar   Cabal,'ORG',the dark eldar  cabal,Dark Eldar Kabal,,dark eldar kabal
86,Electro,'ORG',electro,electoo,,electoo
88,The Horrors of Tzeentch,'PERSON',the horrors of tzeentch,Horror of Tzeentch,,horror of tzeentch
81,Ordo Xenos Xenos,'PERSON',ordo xenos xenos,Ordos Xenos,,ordos xenos
85,the Void Kraken,'LOC',the void kraken,Void Kraken,,void kraken
91,Aun Va,'PERSON',aun va,AunVa,,aunva
97,Shas O Shaserra,'PERSON',shas o shaserra,ShasO Shaserra,,shaso shaserra
86,Rak Gol  ,'ORG',rak gol,Rak’Gol,,rak’gol
93,Cano var,'LOC',cano var,Canovar,,canovar
96,Kor sarro Khan,'PERSON',kor sarro khan,Korsarro Khan,,korsarro khan
83,the Rift Hydra,'LOC',the rift hydra,Rift Hydra,,rift hydra
87,Strike Cruiser s,'ORG',strike cruiser s,Strike-Cruiser,,strike-cruiser
84,Orikan Orikan the Diviner,'PERSON',orikan orikan the diviner,Orikan the Diviner,,orikan the diviner
87,the Balur Crusade,'ORG',the balur crusade,Balur Crusade,,balur crusade
91,Shas O,'PERSON',shas o,Shaso,,shaso
87,the Wheel of Fire,'LOC',the wheel of fire,Wheel of Fire,,wheel of fire
81,Battle of Biel Tan,'PERSON',battle of biel tan,Battle of Hell Town,,battle of hell town
83,The Hounds of Khorne,'PERSON',the hounds of khorne,Flesh Hound of Khorne,,flesh hound of khorne
90,T au   Battlesuit,'PERSON',t au  battlesuit,Tau Barttlesuit,,tau barttlesuit
89,the Solemnus Crusade,'ORG',the solemnus crusade,Solemnus Crusade,,solemnus crusade
92,Fi rios,'LOC',fi rios,Firios,,firios
86,Absolon,'PERSON',absolon,Absolom,,absolom
85,the  Tyrant s Legion,'ORG',the tyrant s legion,Tyrants Legion,,tyrants legion
90,Shield Captains,'ORG',shield captains,Shield-Captain,,shield-captain
86,Morvans,'PERSON',morvans,Morvane,,morvane
87,The  Crystal Stars,'LOC',the crystal stars,Crystal Stars,,crystal stars
87,the  Shrouded Zone,'LOC',the shrouded zone,Shrouded Zone,,shrouded zone
91,Blood Cult s,'ORG',blood cult s,Blood Cult,,blood cult
81,the  Knight World  ,'LOC',the knight world,Night World,,night world
96,Elara s Veil,'LOC',elara s veil,Elaras Veil,,elaras veil
81,Praga Sub sector,'LOC',praga sub sector,Sagan Sub-sector,,sagan sub-sector
87,the Magog Cluster,'LOC',the magog cluster,Magog Cluster,,magog cluster
98,Mag ladroth the Void Dragon,'PERSON',mag ladroth the void dragon,Magladroth the Void Dragon,,magladroth the void dragon
90,the  Noctis Labyrinthus,'LOC',the noctis labyrinthus,Noctis Labyrinthus,,noctis labyrinthus
83,the Tyrant of Badab s,'PERSON',the tyrant of badab s,Tyrant of Badab,,tyrant of badab
86,Titus Dreadnought,'PERSON',titus dreadnought,Mortis Dreadnought,,mortis dreadnought
90,the  Plasma Incinerator,'ORG',the plasma incinerator,Plasma Incinerator,,plasma incinerator
84,the Zypher Sub Sector,'LOC',the zypher sub sector,Zypher Sub-sector,,zypher sub-sector
92,Gorfang,'ORG',gorfang,Gorang,,gorang
87,the   Segmentae Majoris,'ORG',the  segmentae majoris,Segmentae Majoris,,segmentae majoris
89,Yria,'PERSON',yria,Lyria,,lyria
83,The Red Heresy,'PERSON',the red heresy,Red Heresy,,red heresy
96,Rennin Tri el,'PERSON',rennin tri el,Rennin Triel,,rennin triel
96,Hamman s World,'ORG',hamman s world,Hammans World,,hammans world
95,Hellion IV,'LOC',hellion iv,Hellion V,,hellion v
92,Forge Masters,'PERSON',forge masters,Forgemaster,,forgemaster
86,the Pandraxx Sub Sector,'LOC',the pandraxx sub sector,Pandraxx Sub-sector,,pandraxx sub-sector
88,Regis Sectora,'ORG',regis sectora,Aegis Sector,,aegis sector
87,the Kiltor Sector,'LOC',the kiltor sector,Kiltor Sector,,kiltor sector
87,the Nemesis Force Weaponry,'ORG',the nemesis force weaponry,Nemesis Force Weapon,,nemesis force weapon
92,The Battle of Carrion Deep,'PERSON',the battle of carrion deep,Battle of Carrion Deep,,battle of carrion deep
86,the  Empyrion s Blight,'ORG',the empyrion s blight,Empyrions Blight,,empyrions blight
86,1st Claw Night Lords,'ORG',1st claw night lords,First Claw (Night Lords),,first claw (night lords)
92,the Cult of the Red Heresy,'ORG',the cult of the red heresy,Cult of the Red Heresy,,cult of the red heresy
87,the Typhon Sector,'LOC',the typhon sector,Typhon Sector,,typhon sector
83,Santos,'PERSON',santos,saints,,saints
82,Dark Angels Crusade,'ORG',dark angels crusade,Dark Marches Crusade,,dark marches crusade
86,the  Heavenfall Blades,'ORG',the heavenfall blades,Heavenfall Blade,,heavenfall blade
85,Custodian s,'PERSON',custodian s,Custodian Spear,,custodian spear
81,the Blue Horrors,'PERSON',the blue horrors,Blue Horror,,blue horror
81,Cult of Tzeentch,'PERSON',cult of tzeentch,Disc of Tzeentch,,disc of tzeentch
85,the Lord of Change,'PERSON',the lord of change,Lords of Change,,lords of change
97,Exalted Daemons,'PERSON',exalted daemons,Exalted Daemon,,exalted daemon
81,the Sorcerer Lord s,'PERSON',the sorcerer lord s,Sorcerer Lord,,sorcerer lord
88,the  Scholastica Psykana,'ORG',the scholastica psykana,Scholastia Psykana,,scholastia psykana
96,Changebringer,'PERSON',changebringer,Changebringers,,changebringers
91,Fluxmaster s,'ORG',fluxmaster s,Fluxmaster,,fluxmaster
88,the Canonness Preceptor,'PERSON',the canonness preceptor,canoness preceptor,,canoness preceptor
87,the  Orders Hospitaller,'ORG',the orders hospitaller,Order Hospitaller,,order hospitaller
86,Retribution,'ORG',retribution,Retributor,,retributor
85,the  Cardinal World  ,'LOC',the cardinal world,Cardinal Worlds,,cardinal worlds
87,the Orders Sabine,'ORG',the orders sabine,Orders Sabine,,orders sabine
83,Ork Looted Rhinos,'PERSON',ork looted rhinos,Looted Rhino,,looted rhino
88,The Aurelian Crusades,'ORG',the aurelian crusades,Third Aurelian Crusade,,third aurelian crusade
92,Anuphans the Cruel,'PERSON',anuphans the cruel,Anupharis the Cruel,,anupharis the cruel
82,The Aurelian Crusades,'ORG',the aurelian crusades,Second Aurelian Crusade,,second aurelian crusade
83,Beta Secundus,'LOC',beta secundus,Nedicta Secundus,,nedicta secundus
97,Zahariel El Zurias,'PERSON',zahariel el zurias,Zahariel ElZurias,,zahariel elzurias
85,the First Sphere,'ORG',the first sphere,The First Heretic,,the first heretic
81,the Outcast Dead s,'ORG',the outcast dead s,The Outcast Dead (Novel),,the outcast dead (novel)
81,Viduity Anthology Short Story,'ORG',viduity anthology short story,Liars Due (Anthology Short Story),,liars due (anthology short story)
85,Sisters of the Adepta Sororitas,'ORG',sisters of the adepta sororitas,Abbess of the Adepta Sororitas,,abbess of the adepta sororitas
89,the Draxian Hegemony,'ORG',the draxian hegemony,Draxian Hegemony,,draxian hegemony
97,Field Chirurgeons,'ORG',field chirurgeons,Field Chirurgeon,,field chirurgeon
84,Dominica,'PERSON',dominica,Dominica II,,dominica ii
81,Dance of Shadows,'PERSON',dance of shadows,Nexus of Shadows,,nexus of shadows
82,the Splintered Talon,'ORG',the splintered talon,Kabal of the Splintered Talon,,kabal of the splintered talon
92,The Kabal of the Crimson Woe,'PERSON',the kabal of the crimson woe,Kabal of the Crimson Woe,,kabal of the crimson woe
81,the Gaelan Sphere s,'LOC',the gaelan sphere s,Gaelan Sphere,,gaelan sphere
83,Night of Revelations  999.M41,'PERSON',night of revelations 999.m41,Night of Revelations,,night of revelations
86,the Lords of the Iron Thorn,'PERSON',the lords of the iron thorn,Kabal of the Lords of the Iron Thorn,,kabal of the lords of the iron thorn
82,the  Severan,'ORG',the severan,The Severed,,the severed
82,El uriaq s,'PERSON',el uriaq s,Eluriaq,,eluriaq
91,Qa leh,'PERSON',qa leh,Qaleh,,qaleh
81,The Shadow Field,'LOC',the shadow field,Shadowfield,,shadowfield
92,the Lords of the Iron Thorn,'PERSON',the lords of the iron thorn,Lords of the Iron Thorn,,lords of the iron thorn
83,the Bleaksoul Brethren,'ORG',the bleaksoul brethren,Kabal of the Bleaksoul Brethren,,kabal of the bleaksoul brethren
93,The Kabal of the Obsidian Rose,'PERSON',the kabal of the obsidian rose,Kabal of the Obsidian Rose,,kabal of the obsidian rose
92,the Kabal of the Slashed Eye,'PERSON',the kabal of the slashed eye,Kabal of the Slashed Eye,,kabal of the slashed eye
82,olt Pistol,'PERSON',olt pistol,Blast Pistol,,blast pistol
86,Chaos Space Marines,'NORP',chaos space marines,Chaos Space Marine Chosen,,chaos space marine chosen
83,the  Dread Host,'LOC',the dread host,Dread Host,,dread host
94,the  Indomitus Crusade Fleet Secundus,'ORG',the indomitus crusade fleet secundus,Indomitus Crusade Fleet Secundus,,indomitus crusade fleet secundus
88,the  Reductus Sector,'LOC',the reductus sector,Reductus Sector,,reductus sector
97,Bray arth Ashmantle,'PERSON',bray arth ashmantle,Brayarth Ashmantle,,brayarth ashmantle
86,the  Sable Nebula,'LOC',the sable nebula,Sable Nebula,,sable nebula
81,the Balur Crusade,'ORG',the balur crusade,Athalor Crusade,,athalor crusade
89,the  Eternal Crusader,'ORG',the eternal crusader,Eternal Crusader,,eternal crusader
88,the  Writhing World,'LOC',the writhing world,Writhing World,,writhing world
97,Skyrar s Dark Wolves,'ORG',skyrar s dark wolves,Skyrars Dark Wolves,,skyrars dark wolves
90,The Blackmane Great Company,'ORG',the blackmane great company,Blackmanes Great Company,,blackmanes great company
97,Imperium of Man,'ORG',imperium of man,Imperium  of Man,,imperium  of man
82,Ork WAAAGH!,'PERSON',ork waaagh!,Red WAAAGH!,,red waaagh!
91,Wych Cult s,'ORG',wych cult s,Wyche Cults,,wyche cults
95,the  Varagyr Wolf Guard Terminator Squad  ,'ORG',the varagyr wolf guard terminator squad,Varagyr Wolf Guard Terminator Squad,,varagyr wolf guard terminator squad
81,Grey Slayer,'ORG',grey slayer,Grey Slayer Pack,,grey slayer pack
91,the  Plasma Incinerator,'ORG',the plasma incinerator,Heavy Plasma Incinerator,,heavy plasma incinerator
83,the  Plasma Incinerator,'ORG',the plasma incinerator,Assault Plasma Incinerator,,assault plasma incinerator
82,rk X Gravis Power Armour,'PERSON',rk x gravis power armour,Mark X Omnis Power Armour,,mark x omnis power armour
88,The  Sons of Morkai,'ORG',the sons of morkai,Sons of Morkai,,sons of morkai
95,Red Moon s,'PERSON',red moon s,Red Moons,,red moons
90,Havarl Red Blade,'PERSON',havarl red blade,Hvarl Red-Blade,,hvarl red-blade
94,Geigor Fell Hand,'PERSON',geigor fell hand,Geigor Fell-Hand,,geigor fell-hand
86,the  Fist of Russ,'ORG',the fist of russ,Fist of Russ,,fist of russ
88,the  Crusade of Fire,'ORG',the crusade of fire,Crusade of Fire,,crusade of fire
94,Frostaxe,'PERSON',frostaxe,Frost Axe,,frost axe
85,a Disruptor Field,'LOC',a disruptor field,Disruption Field,,disruption field
84,Land Raider s,'ORG',land raider s,Land Raider Phobos,,land raider phobos
81,the Void Dragons,'ORG',the void dragons,Void Dragon,,void dragon
89,the Caradryad Sector,'LOC',the caradryad sector,Caradryad Sector,,caradryad sector
89,The Aurelian Crusades,'ORG',the aurelian crusades,Aurelian Crusades,,aurelian crusades
88,the  Judgment of Carrion,'PERSON',the judgment of carrion,Judgement of Carrion,,judgement of carrion
90,Khamun Sen   ,'ORG',khamun sen,Khamun-Sen,,khamun-sen
