Spacy_entity,Spacy_tag,clean_entities,Wiki_entity,Wiki_tag
Master of the Hunt,'PERSON',master of the hunt,Master of the Hunt,
Ashok,'PERSON',ashok,Ashok,
Watch Fortress,'ORG',watch fortress,Watch Fortress,
Cyrus,'PERSON',cyrus,Cyrus,
Chalnath Expanse,'LOC',chalnath expanse,Chalnath Expanse,
Bray,'PERSON',bray,Bray,
Badab,'NORP',badab,Badab,
Ymgarl,'PERSON',ymgarl,Ymgarl,
Cassian Vaughn,'PERSON',cassian vaughn,Cassian Vaughn,
Ymgarl Genestealers,'PERSON',ymgarl genestealers,Ymgarl Genestealers,
Nocturne,'PERSON',nocturne,Nocturne,
Rhur III,'LOC',rhur iii,Rhur III,
Legio Suturvora,'PERSON',legio suturvora,Legio Suturvora,
Legio Metalica,'PERSON',legio metalica,Legio Metalica,
Legio Oberon,'PERSON',legio oberon,Legio Oberon,
Legio Solaria,'PERSON',legio solaria,Legio Solaria,
Legio Vulcanum II,'PERSON',legio vulcanum ii,Legio Vulcanum II,
Legio Osedax,'PERSON',legio osedax,Legio Osedax,
Legio Sirius,'PERSON',legio sirius,Legio Sirius,
Legio Excruciatus,'PERSON',legio excruciatus,Legio Excruciatus,
Legio Magna,'PERSON',legio magna,Legio Magna,
Legio Ignatum,'ORG',legio ignatum,Legio Ignatum,
Legio Tempestor,'PERSON',legio tempestor,Legio Tempestor,
Legio Decimata,'PERSON',legio decimata,Legio Decimata,
Legio Debellator,'PERSON',legio debellator,Legio Debellator,
Legio Maledictis,'PERSON',legio maledictis,Legio Maledictis,
Legio Perennia,'PERSON',legio perennia,Legio Perennia,
Legio Covenentia,'PERSON',legio covenentia,Legio Covenentia,
Legio Proditor,'PERSON',legio proditor,Legio Proditor,
Legio Audax,'PERSON',legio audax,Legio Audax,
Ordo Sinister,'PERSON',ordo sinister,Ordo Sinister,
Legio Tenerii,'PERSON',legio tenerii,Legio Tenerii,
Legio Mortis Metallum,'PERSON',legio mortis metallum,Legio Mortis Metallum,
Legio Onerus,'PERSON',legio onerus,Legio Onerus,
Legio Damnosus,'PERSON',legio damnosus,Legio Damnosus,
Legio Crucis,'PERSON',legio crucis,Legio Crucis,
Legio Amaranth,'PERSON',legio amaranth,Legio Amaranth,
Legio Xerxes,'PERSON',legio xerxes,Legio Xerxes,
Legio Ursa,'PERSON',legio ursa,Legio Ursa,
Legio Laniaskara,'PERSON',legio laniaskara,Legio Laniaskara,
Legio Confindo,'PERSON',legio confindo,Legio Confindo,
Legio Castigatum,'PERSON',legio castigatum,Legio Castigatum,
Legio Praesagius,'PERSON',legio praesagius,Legio Praesagius,
Legio Kaurthos,'PERSON',legio kaurthos,Legio Kaurthos,
Legio Ferocastrum,'PERSON',legio ferocastrum,Legio Ferocastrum,
Legio Tempestus,'PERSON',legio tempestus,Legio Tempestus,
Legio Annihilator,'PERSON',legio annihilator,Legio Annihilator,
Legio Kulisaetai,'PERSON',legio kulisaetai,Legio Kulisaetai,
Legio Phasma,'PERSON',legio phasma,Legio Phasma,
Legio Venator,'PERSON',legio venator,Legio Venator,
Legio Ulricon,'PERSON',legio ulricon,Legio Ulricon,
Legio Atrox,'PERSON',legio atrox,Legio Atrox,
Legio Lacrimae,'PERSON',legio lacrimae,Legio Lacrimae,
Legio Ordo Canis,'PERSON',legio ordo canis,Legio Ordo Canis,
Legio Manus Flameaus,'PERSON',legio manus flameaus,Legio Manus Flameaus,
Legio Frostreaver,'PERSON',legio frostreaver,Legio Frostreaver,
Legio Vulcanum,'PERSON',legio vulcanum,Legio Vulcanum,
Legio Arconis,'PERSON',legio arconis,Legio Arconis,
Legio Astraman,'PERSON',legio astraman,Legio Astraman,
Legio Serpentes,'PERSON',legio serpentes,Legio Serpentes,
Legio Vulturus,'PERSON',legio vulturus,Legio Vulturus,
Legio Krytos,'PERSON',legio krytos,Legio Krytos,
Legio Ulicon,'PERSON',legio ulicon,Legio Ulicon,
Legio Nivalis,'PERSON',legio nivalis,Legio Nivalis,
Legio Astorum,'PERSON',legio astorum,Legio Astorum,
Legio Vindictus,'PERSON',legio vindictus,Legio Vindictus,
Legio Agravides,'PERSON',legio agravides,Legio Agravides,
Legio Morbus,'PERSON',legio morbus,Legio Morbus,
Legio Victorum,'PERSON',legio victorum,Legio Victorum,
Legio Pestis,'PERSON',legio pestis,Legio Pestis,
Legio Adamantus,'PERSON',legio adamantus,Legio Adamantus,
Legio Xestobiax,'PERSON',legio xestobiax,Legio Xestobiax,
Legio Damnatus,'PERSON',legio damnatus,Legio Damnatus,
Legio Vulturum,'PERSON',legio vulturum,Legio Vulturum,
Legio Atarus,'PERSON',legio atarus,Legio Atarus,
Legio Pallidus Mor,'PERSON',legio pallidus mor,Legio Pallidus Mor,
Legio Argentum,'PERSON',legio argentum,Legio Argentum,
Legio Ultima,'PERSON',legio ultima,Legio Ultima,
Legio Ferroxus,'PERSON',legio ferroxus,Legio Ferroxus,
Legio Castigatra,'PERSON',legio castigatra,Legio Castigatra,
Legio Naesseas,'PERSON',legio naesseas,Legio Naesseas,
Legio Lacrymea,'PERSON',legio lacrymea,Legio Lacrymea,
Legio Kydianos,'PERSON',legio kydianos,Legio Kydianos,
Legio Thanataris,'PERSON',legio thanataris,Legio Thanataris,
Citadel Miniatures,'ORG',citadel miniatures,Citadel Miniatures,
Bryan Ansell,'PERSON',bryan ansell,Bryan Ansell,
Golden Demon,'ORG',golden demon,Golden Demon,
Blood Bowl,'ORG',blood bowl,Blood Bowl,
Ogryns,'PERSON',ogryns,Ogryns,
Legio Infernus,'ORG',legio infernus,Legio Infernus,
magi,'NORP',magi,magi,
Gantz,'PERSON',gantz,Gantz,
Drooth II,'PERSON',drooth ii,Drooth II,
Titandeath,'PERSON',titandeath,Titandeath,
Divisio Militaris,'ORG',divisio militaris,Divisio Militaris,
Ulixis,'PERSON',ulixis,Ulixis,
Dae Vergos,'PERSON',dae vergos,Dae Vergos,
Legio Lysanda  ,'ORG',legio lysanda,Legio Lysanda,
Princeps,'NORP',princeps,princeps,
Horgoth Nyr,'PERSON',horgoth nyr,Horgoth Nyr,
Legio,'ORG',legio,Legio,
Ithraca,'PERSON',ithraca,Ithraca,
Steve Parker,'PERSON',steve parker,Steve Parker,
Mike Lee,'PERSON',mike lee,Mike Lee,
C.S. Goto,'ORG',c.s. goto,C.S. Goto,
David Bishop,'PERSON',david bishop,David Bishop,
Will McDermott,'PERSON',will mcdermott,Will McDermott,
Jack Yeovil,'PERSON',jack yeovil,Jack Yeovil,
Brian Stableford,'PERSON',brian stableford,Brian Stableford,
William King,'PERSON',william king,William King,
Gav Thorpe,'PERSON',gav thorpe,Gav Thorpe,
Brian Craig,'PERSON',brian craig,Brian Craig,
Robin Laws,'PERSON',robin laws,Robin Laws,
Jonathan Green,'PERSON',jonathan green,Jonathan Green,
Steven Savile,'PERSON',steven savile,Steven Savile,
Neil McIntosh,'PERSON',neil mcintosh,Neil McIntosh,
Lee Lightner,'PERSON',lee lightner,Lee Lightner,
James Swallow,'PERSON',james swallow,James Swallow,
Chris Wraight,'PERSON',chris wraight,Chris Wraight,
Nick Kyme,'PERSON',nick kyme,Nick Kyme,
Sandy Mitchell,'PERSON',sandy mitchell,Sandy Mitchell,
Matthew Farrer,'PERSON',matthew farrer,Matthew Farrer,
C.L. Werner,'ORG',c.l. werner,C.L. Werner,
Barrington J. Bayley,'ORG',barrington j. bayley,Barrington J. Bayley,
Anthony Reynolds,'PERSON',anthony reynolds,Anthony Reynolds,
Ben Counter,'PERSON',ben counter,Ben Counter,
Gordon Rennie,'PERSON',gordon rennie,Gordon Rennie,
Andy Hoare,'PERSON',andy hoare,Andy Hoare,
INFERNO!,'ORG',inferno!,Inferno!,
Ian Watson,'PERSON',ian watson,Ian Watson,
Black Library,'ORG',black library,Black Library,
Nik Vincent,'PERSON',nik vincent,Nik Vincent,
Robert Earl,'PERSON',robert earl,Robert Earl,
Mitchel Scanlon,'ORG',mitchel scanlon,Mitchel Scanlon,
Tralsak,'LOC',tralsak,Tralsak,
Warmonger,'NORP',warmonger,Warmonger,
Legio Fortidus,'ORG',legio fortidus,Legio Fortidus,
Regulus,'PERSON',regulus,Regulus,
Suns of Damnation,'ORG',suns of damnation,Suns of Damnation,
Megyre,'PERSON',megyre,Megyre,
Nerissa Lekkas,'PERSON',nerissa lekkas,Nerissa Lekkas,
Corrvin Herrold,'PERSON',corrvin herrold,Corrvin Herrold,
Tallarn,'LOC',tallarn,Tallarn,
Warden   ,'PERSON',warden,Warden,
Solar Auxilia,'ORG',solar auxilia,Solar Auxilia,
Raji Nethata,'PERSON',raji nethata,Raji Nethata,
Shardenus,'LOC',shardenus,Shardenus,
Demios Primary,'ORG',demios primary,Demios Primary,
Reaver,'NORP',reaver,Reaver,
Arven Rauth,'PERSON',arven rauth,Arven Rauth,
Forces of Chaos,'ORG',forces of chaos,forces of Chaos,
Legio Fureans,'ORG',legio fureans,Legio Fureans,
Khan,'PERSON',khan,Khan,
Traitor Titan Legion  ,'ORG',traitor titan legion,Traitor Titan Legion,
Revilers,'ORG',revilers,Revilers,
Kalibrax,'PERSON',kalibrax,Kalibrax,
Xiloci II,'ORG',xiloci ii,Xiloci II,
Segmentum Pacificus,'LOC',segmentum pacificus,Segmentum Pacificus,
Incunabula,'LOC',incunabula,Incunabula,
Jerulas Station,'LOC',jerulas station,Jerulas Station,
Grax,'PERSON',grax,Grax,
Knight,'PERSON',knight,Knight,
Legio Crucius,'PERSON',legio crucius,Legio Crucius,
Triad Ferrum Morgulus,'ORG',triad ferrum morgulus,Triad Ferrum Morgulus,
Warmongers,'NORP',warmongers,Warmongers,
Chaos Warfleet,'ORG',chaos warfleet,Chaos Warfleet,
Maelstrom Zone,'LOC',maelstrom zone,Maelstrom Zone,
Angstrom,'LOC',angstrom,Angstrom,
Traitor Titans,'ORG',traitor titans,Traitor Titans,
House Devine,'ORG',house devine,House Devine,
Defence of Ryza,'PERSON',defence of ryza,Defence of Ryza,
Imperial Eagles,'ORG',imperial eagles,Imperial Eagles,
Legio Destructor,'ORG',legio destructor,Legio Destructor,
Maerdan,'PERSON',maerdan,Maerdan,
MIU,'ORG',miu,MIU,
Legio Interfector,'PERSON',legio interfector,Legio Interfector,
Titan Order,'ORG',titan order,Titan Order,
Armageddon,'LOC',armageddon,Armageddon,
Jonah Aruken   ,'PERSON',jonah aruken,Jonah Aruken,
Ruin of Maedran,'PERSON',ruin of maedran,Ruin of Maedran,
Schism of Mars,'PERSON',schism of mars,Schism of Mars,
House Xerathon,'ORG',house xerathon,House Xerathon,
Titus Cassar,'PERSON',titus cassar,Titus Cassar,
Moderati,'NORP',moderati,moderati,
House Gotrith,'ORG',house gotrith,House Gotrith,
Firebrands,'ORG',firebrands,Firebrands,
House Senica,'ORG',house senica,House Senica,
House Vextrix,'ORG',house vextrix,House Vextrix,
Urisarach,'LOC',urisarach,Urisarach,
House Morbidia,'ORG',house morbidia,House Morbidia,
House Oroborn,'ORG',house oroborn,House Oroborn,
Khitas Frome,'PERSON',khitas frome,Khitas Frome,
Accatran,'ORG',accatran,Accatran,
Legio Ignis   ,'ORG',legio ignis,Legio Ignis,
Megarachnids,'NORP',megarachnids,Megarachnids,
Camulos,'PERSON',camulos,Camulos,
Legio Gryphonicus,'PERSON',legio gryphonicus,Legio Gryphonicus,
Paramar,'ORG',paramar,Paramar,
Cadmus,'PERSON',cadmus,Cadmus,
Gryphonne IV,'PERSON',gryphonne iv,Gryphonne IV,
House Vyronii,'ORG',house vyronii,House Vyronii,
War Within the Webway,'PERSON',war within the webway,War Within the Webway,
Yarant III,'LOC',yarant iii,Yarant III,
House Coldshroud,'ORG',house coldshroud,House Coldshroud,
House Klaze,'ORG',house klaze,House Klaze,
House Cadmus,'ORG',house cadmus,House Cadmus,
Silent Sisterhood,'ORG',silent sisterhood,Silent Sisterhood,
Myndoras Odon,'PERSON',myndoras odon,Myndoras Odon,
Legio Vulcanum I,'PERSON',legio vulcanum i,Legio Vulcanum I,
Moderatii,'NORP',moderatii,moderatii,
Paramar V,'LOC',paramar v,Paramar V,
House Fvaber,'ORG',house fvaber,House Fvaber,
IV Legion,'ORG',iv legion,IV Legion,
Orestes,'LOC',orestes,Orestes,
Manachea,'LOC',manachea,Manachea,
Tharsis,'NORP',tharsis,Tharsis,
Freeblade,'ORG',freeblade,Freeblade,
Estaban III,'LOC',estaban iii,Estaban III,
Stormlord,'PERSON',stormlord,Stormlord,
Indias Cavalerio,'PERSON',indias cavalerio,Indias Cavalerio,
Sol,'PERSON',sol,Sol,
Port Maw,'LOC',port maw,Port Maw,
Maximus Karania,'PERSON',maximus karania,Maximus Karania,
Lenk,'ORG',lenk,Lenk,
Ryza Secundus,'PERSON',ryza secundus,Ryza Secundus,
Legio Honorum,'ORG',legio honorum,Legio Honorum,
Esteban VII,'PERSON',esteban vii,Esteban VII,
88th Siege Army,'ORG',88th siege army,88th Siege Army,
Red Scorpions,'ORG',red scorpions,Red Scorpions,
Xaphan,'PERSON',xaphan,Xaphan,
Vraks Prime,'LOC',vraks prime,Vraks Prime,
Aeldari Titans,'ORG',aeldari titans,Aeldari Titans,
Dominion,'ORG',dominion,Dominion,
Astra Xaphan,'PERSON',astra xaphan,Astra Xaphan,
Collegia Titanica,'ORG',collegia titanica,Collegia Titanica,
Xana II,'ORG',xana ii,Xana II,
Cyclothrathe,'PERSON',cyclothrathe,Cyclothrathe,
Xana,'PERSON',xana,Xana,
Sarum,'PERSON',sarum,Sarum,
Rangdan,'PERSON',rangdan,Rangdan,
Hyboras,'PERSON',hyboras,Hyboras,
House Perdaxia,'ORG',house perdaxia,House Perdaxia,
Heretek,'PERSON',heretek,Heretek,
Legio Defensor,'PERSON',legio defensor,Legio Defensor,
Incaladion,'ORG',incaladion,Incaladion,
The Titandeath,'PERSON',the titandeath,The Titandeath,
Machine Spirits,'ORG',machine spirits,Machine Spirits,
Tarellian,'NORP',tarellian,Tarellian,
Yldari,'NORP',yldari,Yldari,
Urlakk Urg,'LOC',urlakk urg,Urlakk Urg,
Yarrick,'PERSON',yarrick,Yarrick,
Abaddon the Despoiler,'PERSON',abaddon the despoiler,Abaddon the Despoiler,
Zagreus Kane,'PERSON',zagreus kane,Zagreus Kane,
Sarosh,'LOC',sarosh,Sarosh,
Fire Wasps,'ORG',fire wasps,Fire Wasps,
Legio Invicta,'PERSON',legio invicta,Legio Invicta,
Imperial Titans,'ORG',imperial titans,Imperial Titans,
Traitor Titan,'ORG',traitor titan,Traitor Titan,
Helsreach,'LOC',helsreach,Helsreach,
Mind Impulse Unit,'ORG',mind impulse unit,Mind Impulse Unit,
Legio Invigilata,'ORG',legio invigilata,Legio Invigilata,
Black Templar,'ORG',black templar,Black Templar,
Iron Skulls,'PERSON',iron skulls,Iron Skulls,
Kurtiz Mannheim,'PERSON',kurtiz mannheim,Kurtiz Mannheim,
Legio Metallica,'ORG',legio metallica,Legio Metallica,
Imperial Hunters,'NORP',imperial hunters,Imperial Hunters,
Kolossi,'PERSON',kolossi,Kolossi,
Excertus Imperialis,'ORG',excertus imperialis,Excertus Imperialis,
Katara,'PERSON',katara,Katara,
Amethal,'LOC',amethal,Amethal,
Khornate,'NORP',khornate,Khornate,
Nicomedua,'PERSON',nicomedua,Nicomedua,
Nicodemua,'LOC',nicodemua,Nicodemua,
Herman von Strab,'PERSON',herman von strab,Herman von Strab,
Inceptor Squad,'ORG',inceptor squad,Inceptor Squad,
Promethium,'LOC',promethium,promethium,
Xaiozanus Xilliarkis Exasas,'PERSON',xaiozanus xilliarkis exasas,Xaiozanus Xilliarkis Exasas,
Cultists,'NORP',cultists,cultists,
Ossissuri Harkas,'PERSON',ossissuri harkas,Ossissuri Harkas,
Retallus IV,'LOC',retallus iv,Retallus IV,
Taghmata,'NORP',taghmata,Taghmata,
Arachnus,'PERSON',arachnus,Arachnus,
Caradryn Magna,'PERSON',caradryn magna,Caradryn Magna,
Borealis Thoon,'PERSON',borealis thoon,Borealis Thoon,
Pharon,'PERSON',pharon,Pharon,
Wraith,'NORP',wraith,Wraith,
Khania,'LOC',khania,Khania,
Hierophant,'PERSON',hierophant,Hierophant,
Chaos Cultists,'NORP',chaos cultists,Chaos Cultists,
Mandragora,'NORP',mandragora,Mandragora,
Moderatus,'PERSON',moderatus,Moderatus,
Second Aegisine Crusade,'ORG',second aegisine crusade,Second Aegisine Crusade,
Chaos Titans,'ORG',chaos titans,Chaos Titans,
Esteban III,'PERSON',esteban iii,Esteban III,
Anvillus,'PERSON',anvillus,Anvillus,
Galatia,'ORG',galatia,Galatia,
Thule,'ORG',thule,Thule,
Konrad Cruze,'PERSON',konrad cruze,Konrad Cruze,
Legio Victorum I,'PERSON',legio victorum i,Legio Victorum I,
Triplex Phall,'ORG',triplex phall,Triplex Phall,
Phall,'ORG',phall,Phall,
Istvaanians,'NORP',istvaanians,Istvaanians,
Tralask,'LOC',tralask,Tralask,
Triplex Galatia,'ORG',triplex galatia,Triplex Galatia,
Malagra,'NORP',malagra,Malagra,
Triplex Thule,'ORG',triplex thule,Triplex Thule,
Anvilus,'LOC',anvilus,Anvilus,
Crucible,'PERSON',crucible,Crucible,
Gulgorahd,'ORG',gulgorahd,Gulgorahd,
Thallaxii,'NORP',thallaxii,Thallaxii,
Myrmidon,'NORP',myrmidon,Myrmidon,
Archeotech,'ORG',archeotech,archeotech,
Expeditionary Fleets,'ORG',expeditionary fleets,Expeditionary Fleets,
Covenant,'NORP',covenant,Covenant,
Ordo Reductor,'PERSON',ordo reductor,Ordo Reductor,
Thallax,'ORG',thallax,Thallax,
Zone Mortalis,'LOC',zone mortalis,Zone Mortalis,
Lorgar Aurelian,'PERSON',lorgar aurelian,Lorgar Aurelian,
Satyraes XII,'ORG',satyraes xii,Satyraes XII,
Tiger Eyes,'ORG',tiger eyes,Tiger Eyes,
Renegade Knight,'PERSON',renegade knight,Renegade Knight,
Tarren IV,'LOC',tarren iv,Tarren IV,
Nurth,'LOC',nurth,Nurth,
Slanni,'NORP',slanni,Slanni,
Slann,'PERSON',slann,Slann,
Ugulhard,'PERSON',ugulhard,Ugulhard,
Wazdakka Gutsmek,'PERSON',wazdakka gutsmek,Wazdakka Gutsmek,
Zhardsnark,'PERSON',zhardsnark,Zhardsnark,
Macrocannon,'ORG',macrocannon,Macrocannon,
Fulgurites,'NORP',fulgurites,Fulgurites,
Rarguts,'PERSON',rarguts,Rarguts,
Kastelan,'NORP',kastelan,Kastelan,
Nira Heldentun,'PERSON',nira heldentun,Nira Heldentun,
House Zavora,'ORG',house zavora,House Zavora,
Chaos Renegades,'ORG',chaos renegades,Chaos Renegades,
Ryza System,'ORG',ryza system,Ryza System,
Dominus,'PERSON',dominus,Dominus,
Yuritus Omicron,'PERSON',yuritus omicron,Yuritus Omicron,
Catachan Jungle Fighters,'ORG',catachan jungle fighters,Catachan Jungle Fighters,
House Sidus,'ORG',house sidus,House Sidus,
Bucharis,'PERSON',bucharis,Bucharis,
Hydraphur,'ORG',hydraphur,Hydraphur,
Chye Balronas,'PERSON',chye balronas,Chye Balronas,
White Consuls,'ORG',white consuls,White Consuls,
Greater Daemons,'NORP',greater daemons,Greater Daemons,
Vorx,'PERSON',vorx,Vorx,
Boros Prime,'LOC',boros prime,Boros Prime,
Sabatine,'PERSON',sabatine,Sabatine,
Praetorian Guard,'ORG',praetorian guard,Praetorian Guard,
Boros System,'LOC',boros system,Boros System,
Mor Jalchek,'PERSON',mor jalchek,Mor Jalchek,
Krendl,'PERSON',krendl,Krendl,
Lesser Damantyne,'LOC',lesser damantyne,Lesser Damantyne,
Idriss Krendl,'PERSON',idriss krendl,Idriss Krendl,
Second Founding   ,'ORG',second founding,Second Founding,
Mutated  ,'ORG',mutated,mutated,
Melgator,'PERSON',melgator,Melgator,
Saturnine Hoplites,'ORG',saturnine hoplites,Saturnine Hoplites,
Kaban Machine  ,'ORG',kaban machine,Kaban Machine,
Ipluvien Maximal,'PERSON',ipluvien maximal,Ipluvien Maximal,
Lukas Chrom,'PERSON',lukas chrom,Lukas Chrom,
Jovian Grenadiers,'NORP',jovian grenadiers,Jovian Grenadiers,
Efried,'PERSON',efried,Efried,
Taymon Verticorda,'PERSON',taymon verticorda,Taymon Verticorda,
Kane,'PERSON',kane,Kane,
Urtzi Malevolus,'PERSON',urtzi malevolus,Urtzi Malevolus,
Red Planet,'LOC',red planet,Red Planet,
Auretian Technocracy,'ORG',auretian technocracy,Auretian Technocracy,
Faolchú,'PERSON',faolchú,Faolchú,
Isha,'PERSON',isha,Isha,
Kurnous,'PERSON',kurnous,Kurnous,
Anaris,'PERSON',anaris,Anaris,
Vaul,'PERSON',vaul,Vaul,
Lileath,'PERSON',lileath,Lileath,
Kaela Mensha Khaine,'PERSON',kaela mensha khaine,Kaela Mensha Khaine,
Cegorach,'PERSON',cegorach,Cegorach,
Ithaka,'LOC',ithaka,Ithaka,
Kiavahr,'LOC',kiavahr,Kiavahr,
Raptors,'NORP',raptors,Raptors,
Terminator Armour,'ORG',terminator armour,Terminator Armour,
Calibanite,'NORP',calibanite,Calibanite,
Deathwing,'ORG',deathwing,Deathwing,
Ring of Iron,'LOC',ring of iron,Ring of Iron,
Glaive Encarmine,'ORG',glaive encarmine,Glaive Encarmine,
Sons of Medusa,'ORG',sons of medusa,Sons of Medusa,
Fenrisian,'NORP',fenrisian,Fenrisian,
Stef Blacksoul,'PERSON',stef blacksoul,Stef Blacksoul,
Maccrage,'PERSON',maccrage,Maccrage,
Plague Fleet,'ORG',plague fleet,Plague Fleet,
Balthus,'PERSON',balthus,Balthus,
Protos,'LOC',protos,Protos,
Research Station,'ORG',research station,Research Station,
Masali   ,'LOC',masali,Masali,
Tetrarch Council,'ORG',tetrarch council,Tetrarch Council,
Bardan Dovaro,'PERSON',bardan dovaro,Bardan Dovaro,
Ultramar Auxilia,'ORG',ultramar auxilia,Ultramar Auxilia,
Portan,'PERSON',portan,Portan,
Vespator,'LOC',vespator,Vespator,
Masali System,'LOC',masali system,Masali System,
Percepton,'LOC',percepton,Percepton,
Monarchia,'ORG',monarchia,Monarchia,
Ultramarian,'NORP',ultramarian,Ultramarian,
Nurglish,'NORP',nurglish,Nurglish,
Septicus,'PERSON',septicus,Septicus,
Astagar,'LOC',astagar,Astagar,
Alexis Polux,'PERSON',alexis polux,Alexis Polux,
Qaramas,'PERSON',qaramas,Qaramas,
Battle of Calth,'PERSON',battle of calth,Battle of Calth,
Scourge Stars,'LOC',scourge stars,Scourge Stars,
Greater Daemon,'NORP',greater daemon,Greater Daemon,
Solar Macharius,'PERSON',solar macharius,Solar Macharius,
Tallarn Desert Raiders,'ORG',tallarn desert raiders,Tallarn Desert Raiders,
Lukas Bastonne,'PERSON',lukas bastonne,Lukas Bastonne,
Whiteshield,'ORG',whiteshield,Whiteshield,
Praetoria,'LOC',praetoria,Praetoria,
Kubrik Chenkov,'PERSON',kubrik chenkov,Kubrik Chenkov,
Valhalla,'LOC',valhalla,Valhalla,
Valhallan Ice Warriors,'ORG',valhallan ice warriors,Valhallan Ice Warriors,
Chenkov,'PERSON',chenkov,Chenkov,
Rough Riders,'ORG',rough riders,Rough Riders,
Attila,'PERSON',attila,Attila,
Mogul Kamir,'PERSON',mogul kamir,Mogul Kamir,
Balhaut,'PERSON',balhaut,Balhaut,
Archon Nadzybar,'PERSON',archon nadzybar,Archon Nadzybar,
Cybon,'PERSON',cybon,Cybon,
Kith,'PERSON',kith,Kith,
Warmaster Macaroth,'PERSON',warmaster macaroth,Warmaster Macaroth,
Hechtor Dravere,'PERSON',hechtor dravere,Hechtor Dravere,
Death Korps of Krieg,'ORG',death korps of krieg,Death Korps of Krieg,
Sinophia,'PERSON',sinophia,Sinophia,
Attilan Rough Riders,'ORG',attilan rough riders,Attilan Rough Riders,
Ghanzorik,'PERSON',ghanzorik,Ghanzorik,
Sisk,'LOC',sisk,Sisk,
Spinward Front,'ORG',spinward front,Spinward Front,
Occluda,'PERSON',occluda,Occluda,
Saramanth,'PERSON',saramanth,Saramanth,
Worlds,'LOC',worlds,worlds,
Ghaslakh,'NORP',ghaslakh,Ghaslakh,
Old One Eye,'PERSON',old one eye,Old One Eye,
Veridia System,'LOC',veridia system,Veridia System,
Ultima Sector,'LOC',ultima sector,Ultima Sector,
Oriel,'PERSON',oriel,Oriel,
Brotherhood of a Thousand,'ORG',brotherhood of a thousand,Brotherhood of a Thousand,
Penal Legion,'ORG',penal legion,Penal Legion,
Witchseekers,'ORG',witchseekers,Witchseekers,
League of Blackships,'ORG',league of blackships,League of Blackships,
Adepts,'NORP',adepts,adepts,
League of Black Ships,'ORG',league of black ships,League of Black Ships,
Seventy,'PERSON',seventy,Seventy,
Astra Telepathica,'ORG',astra telepathica,Astra Telepathica,
Black Ships,'ORG',black ships,Black Ships,
Kar Duniash,'PERSON',kar duniash,Kar Duniash,
Amendera Kendel,'PERSON',amendera kendel,Amendera Kendel,
Pariahs,'NORP',pariahs,Pariahs,
Euphrati Keeler,'PERSON',euphrati keeler,Euphrati Keeler,
Balzaropht,'PERSON',balzaropht,Balzaropht,
Olga Karamanz,'PERSON',olga karamanz,Olga Karamanz,
Verdicon,'LOC',verdicon,Verdicon,
Pyrus Reach,'LOC',pyrus reach,Pyrus Reach,
Chitin,'PERSON',chitin,Chitin,
Hive Mind,'PERSON',hive mind,Hive Mind,
Ymgarl Factor,'PERSON',ymgarl factor,Ymgarl Factor,
Reaper of Obliterax,'PERSON',reaper of obliterax,Reaper of Obliterax,
Harq Obispal,'PERSON',harq obispal,Harq Obispal,
Jaq Draco,'PERSON',jaq draco,Jaq Draco,
Hydra,'ORG',hydra,Hydra,
Exterminatus  ,'ORG',exterminatus,Exterminatus,
Stalinvast,'LOC',stalinvast,Stalinvast,
Draco,'PERSON',draco,Draco,
Votheer Tark,'PERSON',votheer tark,Votheer Tark,
Ultramarines  10th Company,'ORG',ultramarines 10th company,Ultramarines 10th Company,
Cadian Gate,'LOC',cadian gate,Cadian Gate,
Agripinaa System,'LOC',agripinaa system,Agripinaa System,
Warpsmith,'ORG',warpsmith,Warpsmith,
Agripinaa Sector,'LOC',agripinaa sector,Agripinaa Sector,
Temporia,'ORG',temporia,Temporia,
Cadian System,'LOC',cadian system,Cadian System,
Belis Corona Sector,'LOC',belis corona sector,Belis Corona Sector,
Historical Revision Unit,'ORG',historical revision unit,Historical Revision Unit,
Malestrom,'LOC',malestrom,Malestrom,
Blackmane,'PERSON',blackmane,Blackmane,
Hunt for the Wulfen,'PERSON',hunt for the wulfen,Hunt for the Wulfen,
Fenrisian Wolf,'PERSON',fenrisian wolf,Fenrisian Wolf,
Fenrisian Wolves,'NORP',fenrisian wolves,Fenrisian Wolves,
Skyclaws,'PERSON',skyclaws,Skyclaws,
Blood Claw,'PERSON',blood claw,Blood Claw,
Wolf Guard,'PERSON',wolf guard,Wolf Guard,
Blackmanes,'NORP',blackmanes,Blackmanes,
Harald Deathwolf,'PERSON',harald deathwolf,Harald Deathwolf,
Warp Storm,'LOC',warp storm,Warp Storm,
Garm,'ORG',garm,Garm,
Wolfblade,'ORG',wolfblade,Wolfblade,
Allfather,'PERSON',allfather,Allfather,
Ragnar Blackmane,'PERSON',ragnar blackmane,Ragnar Blackmane,
Galt,'LOC',galt,Galt,
Fenris System,'LOC',fenris system,Fenris System,
Hyades,'LOC',hyades,Hyades,
Ranek Icewalker,'PERSON',ranek icewalker,Ranek Icewalker,
Aerius,'LOC',aerius,Aerius,
The Fang,'ORG',the fang,The Fang,
Krongar,'PERSON',krongar,Krongar,
Swiftclaw,'NORP',swiftclaw,Swiftclaw,
13th Great Company,'ORG',13th great company,13th Great Company,
Wolf Lord,'PERSON',wolf lord,Wolf Lord,
Skyclaw,'ORG',skyclaw,Skyclaw,
